img_path|caption|noun
dev-167-3-img0|a person and a dog. In the background of the image there is a mesh, grass, plants, trees, stones and other objects. At the bottom of the image there is the grass and wooden sticks. On the right side of the image there is a person's leg|Person
dev-566-2-img1|a dog standing on the ground. In the background we can see a person standing, grass, plants and objects|Dog
dev-1028-3-img1|a poster with some text and image|Bottle
dev-189-3-img0|A monkey, with its fuzzy brown hair and long furry tail, holds a baby monkey in its arms. The baby monkey has a long dark tail and its mouth is open. The mother monkey's ear is visible, and her eyes are focused on the baby. The baby monkey is gripping on its mother's back, its toes on the leg of the baby. The mother monkey is carrying her baby in her arms, and the baby monkey is hanging on to its mother's back. The fur of the monkey is soft and silky, and the baby monkey has a tiny tiny eye. The trees in the background are tall and green, and the sky is clear|Monkey
dev-115-1-img0|monkeys on the tree trunk|Monkeys
dev-1004-1-img0|fishes and shells in the water|Shells
dev-717-1-img0|A stingray is swimming in the ocean with other fish around it|Stingray
dev-630-0-img0|a fish in the water|Fish
dev-418-0-img0|Two gorillas, one attacking the other, are depicted in this image. One gorilla has its mouth open and its tongue protruding, while the other gorilla has its hand raised in the air. The background is grassy, with trees on the right and a grassy area with leaves and small plants on the left. The log in front of the gorillas is prominent, and the mouth of the gorilla in the foreground is visible. The right gorilla's left arm, its curled fingernail on its paw, and its nose are also noticeable. The black fur on the gorilla's back is evident, and the plant growth behind the gorillas is plentiful|Gorillas
dev-115-2-img0|Two monkeys play in the grass and dirt, their tails and hands moving freely. The trees stand tall behind them, their branches reaching towards the sky. The dirt beneath their feet is dark brown, and the grass is patchy and green. The monkeys are sitting and standing, their bodies moving in rhythm with the ground. The branches of the trees are bare, and the leaves are lush and green. The monkeys have dark fur on their heads and light fur on their bodies. The scene is taking place outdoors, and the mood is relaxed and playful|Monkeys
dev-115-1-img1|two monkeys sitting on the rock. In the background we can see plants|Monkeys
dev-1047-3-img0|a person is holding a syringe that is numbered from 0 to 6|Vaccine
dev-1047-2-img1|a person's hand holding a syringe. In the background there are syringes placed on the surface|Syringe
dev-221-2-img0|Medical syringes with detachable needles, commonly used for injections and fluid administration|Syringe
dev-174-2-img0|weights placed on the stand|Weights
dev-1010-1-img1|Two antelope race across a grassy field, their horns gleaming. The sun shines golden on the clouds, casting long shadows across the dry grassland. Tall African trees line the perimeter of the field, their branches reaching towards the sky. The tail of the antelope is thin and dark, contrasting against its white coat. The animals run in unison, their legs moving in rhythm with the land. The mountains loom large in the background, their dark peaks piercing through the clouds. The sky is filled with puffy white clouds, casting a soft glow over the landscape. The water near the grass flows peacefully, reflecting the afternoon light. The gazelle's head is visible, its front legs extending as it races forward. The animal's tail is long and grey, its fur brown and white|Zebras
dev-302-3-img0|A herd of zebra stand grazing on a dry grass field. The zebra's hind legs are extended as it feeds on the tall brown grass. The zebra's neck is bent forward, and its head is lowered to the ground. The sky is hazy blue with thin clouds. The trees grow tall in the distance. The grass is tall and brown. The zebra has black and white stripes. The picture is covered with a water mark|Zebras
dev-1010-1-img0|A gazelle stands gracefully in a field of tall, dried grass. Its brown coat and worn right ear are prominent features. The gazelle's horns, black eye, and black nose are also visible. The tall dried grass and green vegetation in the background provide a picturesque backdrop. The gazelle's eyes are forward-looking, and its tail is swished with a hint of black at the tip. The website address and a copyright symbol are displayed on the photo|Gazelle
dev-1010-3-img1|A gazelle stands gracefully in a field of tall, lush green grass. Its coat is a vibrant brown and white, with a distinctive stripe running down its body. The gazelle's eyes are bright and alert, and its ears are perked up. Its horns are long and curved, and its tail is long and slender. The gazelle's legs are strong and muscular, and its back legs are extended as if in preparation for movement. The gazelle's head is tilted back, as if gazing at the horizon|Deer
dev-1010-3-img1|A gazelle stands gracefully in a field of tall, lush green grass. Its coat is a vibrant brown and white, with a distinctive stripe running down its body. The gazelle's eyes are bright and alert, and its ears are perked up. Its horns are long and curved, and its tail is long and slender. The gazelle's legs are strong and muscular, and its back legs are extended as if in preparation for movement. The gazelle's head is tilted back, as if gazing at the horizon|Gazelle
dev-1010-3-img1|A gazelle stands gracefully in a field of tall, lush green grass. Its coat is a vibrant brown and white, with a distinctive stripe running down its body. The gazelle's eyes are bright and alert, and its ears are perked up. Its horns are long and curved, and its tail is long and slender. The gazelle's legs are strong and muscular, and its back legs are extended as if in preparation for movement. The gazelle's head is tilted back, as if gazing at the horizon|Deer
dev-117-3-img0|a door with a chain|Closet
dev-117-3-img1|a door with a door handle and a chain|Door
dev-926-1-img0|A living room with a beige sofa, a white chair, a coffee table, and a lamp. The room has a large window with a roller blind and a long brown dresser. There is also a black vase with yellow flowers, a bowl on the table, and a green pillow on the chair. The rug on the floor is checkered and the carpet is multi-colored. The lampshade is white and the fruit in the bowl is artificial|Lamp
dev-384-0-img1|A baby's bed with a canopy and a stuffed animal, featuring a white teddy bear on the bed, a tan bear with black eyes and nose, and a gray bear on the bed. The bed is wooden, with a white chair and a potted plant on the table. The room is colorful, with a gray mountain on the wall, a blue sheet on the bed, and a gray curtain on the bed. The overall atmosphere is calm and serene|Bed
dev-631-1-img1|A group of people stand together in a room. The floor is light brown, and the desk is black with a black base. There is a poster on the wall, a bottle on the ground, and a man wearing glasses and a white lab coat holding a large black camera. The man in the white lab coat is holding a camera, and there is a blue and white label on the bottle. The man in the blue shirt is raising his hand, and there is a grey air vent in the ceiling. The man in the red tie has his hand up, and there is a stack of white paper plates on the desk. The woman in the red shirt is behind the man in the white lab coat, and there is a name tag on the man's shirt. The light is on the ceiling, and there is a bottle of water with a label, a black camera in a man's hand, and a man wearing a red tie and a black pair of pants|Man
dev-179-1-img0|a group of people standing on the ground. In that a man is holding a mobile phone. We can also see some grass, a building with windows, a staircase and a board with some text on it|People
dev-179-1-img0|a group of people standing on the ground. In that a man is holding a mobile phone. We can also see some grass, a building with windows, a staircase and a board with some text on it|People
dev-191-2-img0|a dog. In the background there is a wall and we can see a grill|Dog
dev-726-3-img0|a dog on the ground|Dog
dev-372-1-img0|a dog on the ground. We can also see some grass, a group of trees and the sky|Dog
dev-609-3-img1|A brown dog with a long tail and black eyes stands proudly on the sandy ground, its leash securely attached to a black dog collar. The dog's fur is brown, and its tail is long and brown. A small green plant grows in the sand behind the dog. The ground is light brown and covered with sand and pebbles. The dog's eyes are black, and its ears are pointy. The leash is black and attached to the dog's collar. The dog is looking at the camera and appears to be posing for a picture|Dog
dev-564-2-img1|a dog. In the background there is grass|Monkeys
dev-355-3-img0|monkeys on the ground. At the bottom of the image there is water|Monkeys
dev-423-3-img0|a man standing and smiling. He is wearing a white shirt. Here we can see a chair. Here we can see a table where a bottle, a glass, a jar and a few more things are kept on it. Here we can see a television on the top right side. Here we can see a television on the top left side|Table
dev-609-3-img1|A brown dog with a long tail and black eyes stands proudly on the sandy ground, its leash securely attached to a black dog collar. The dog's fur is brown, and its tail is long and brown. A small green plant grows in the sand behind the dog. The ground is light brown and covered with sand and pebbles. The dog's eyes are black, and its ears are pointy. The leash is black and attached to the dog's collar. The dog is looking at the camera and appears to be posing for a picture|Dog
dev-181-3-img1|A brown and white dog named Fido is cooling off in the shallow river, its tail sticking out of the water. The water is brown and ripples gently. The dog's ears are perked back and its eyes are bright. The sun shines on the water, reflecting off in the form of small ripples. The rocks in the water provide a natural backdrop for Fido's play. The tan dog's tongue hangs out as it wags its tail in delight|Dog
dev-181-3-img1|A brown and white dog named Fido is cooling off in the shallow river, its tail sticking out of the water. The water is brown and ripples gently. The dog's ears are perked back and its eyes are bright. The sun shines on the water, reflecting off in the form of small ripples. The rocks in the water provide a natural backdrop for Fido's play. The tan dog's tongue hangs out as it wags its tail in delight|Border Collie
dev-134-2-img1|a bed with a bed sheet and pillows. We can also see a table with a lamp on it, a door, a photo frame on a wall and a roof|Bed
dev-134-2-img1|a bed with a bed sheet and pillows. We can also see a table with a lamp on it, a door, a photo frame on a wall and a roof|Bed
dev-135-3-img1|a plate containing food placed on the surface|Crab
dev-135-0-img1|A person holds a large, partially-eaten crab in their hand, its legs orange and tan. The crab's claws are long and sharp, with a dent in one claw and a white stripe on the other. The crab's arms are outstretched, and its body is tan and orange. The table beneath the crab is white and wooden, and the wall behind it is white. The person's sweater is dark blue, and their shirt is black. The crab is held in the person's hand, and their thumb is on the claw of the crab. The table is made of wood, and there is a dark shadow on the table|Crab
dev-846-0-img0|crabs|Crab
dev-549-3-img1|A crab is sitting on the rocks outside|Crab
dev-147-1-img1|a crab on the surface|Crab
dev-516-3-img1|A table topped with a large crab feast. A large crab is split open, revealing its juicy flesh. Sliced lemons and limes adorn the table, while a bowl of ketchup and a dish of sauce sit nearby. Parsley is sprinkled on the cooked crab, and a lemon wedge rests on a wooden plate. The fork is silver, and the crab is red. A side of a crab is visible, and the legs of the crab are prominent. The plate is wooden, and the counter is made of marble. This is a crab dinner|Crab
dev-135-3-img1|a plate containing food placed on the surface|Crabs
dev-185-3-img1|a cloth|Towel
dev-187-2-img0|a bowl with food and nuts|Bowl
dev-1023-3-img0|a coffee machine|Machine
dev-1023-3-img0|a coffee machine|Coffee machine
dev-1025-3-img1|Two friends walking together into the ocean waves, wearing colorful swimsuits, on a bright and sunny beach day|Woman
dev-390-1-img1|A cozy bedroom with a fireplace and a bed. The room has a white bedspread and a rug in front of the bed. There is a lamp on the nightstand and a lamp on a table next to the bed. The floor is made of wood and the ceiling is vaulted. The fireplace is made of stone and has fire in it. The bed is in the middle of the room and the window is on the wall. The room has a warm and inviting atmosphere|Bedroom
dev-232-1-img1|a train on the track. In the background we can see a building, lights, and a person|Train
dev-1026-2-img1|a few people sitting on the benches, there are some pillars, lights, windows, also we can see a photo frame on the wall, and a door|Church
dev-1026-2-img1|a few people sitting on the benches, there are some pillars, lights, windows, also we can see a photo frame on the wall, and a door|Church
dev-1026-2-img1|a few people sitting on the benches, there are some pillars, lights, windows, also we can see a photo frame on the wall, and a door|Bedroom
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy|Storefront
dev-711-2-img0|buildings, windows, doors, railings, trees, sky and other objects|Church
dev-949-2-img0|A stone building with a fountain and trees in the background. The building has a stone courtyard and a stone archway. There is a large stone building, a small house made of stones, and a tower with a dome on top of the building. The courtyard is made of stone, and there is a flower pot made of clay on a stone bench. A person is standing in the doorway of the building, and there is a cross on top of the dome. The sky is blue, and there are trees with green leaves and branches in the background|Building
dev-814-0-img0|A cozy room with a comfortable couch, chair, and rug. The rug is red and gray, and the carpet is patterned. The walls are gold and black, and the ceiling is gray. There is a light brown woven chair, a black and brown chair with pillow, and a red chair with pillow. The carpet is on the floor, and there are three rugs on the floor. The wallpaper is black and gold, and the trim is black. The pillow is red and white, and the rug is red and brown. The floor is light brown|Couch
dev-711-2-img1|a black awning with a logo for pho on i|Pho
dev-53-0-img0|A red ribbon store with people standing inside. The store has a red and white sign, a shiny white tile floor, and a red wall inside. There is a brown stuffed animal on display, and the words "Red Ribbon" are written in cursive. The store also has a display case with food in it, a round surveillance camera, and a black wire hanging from the wall. Three people are standing inside the store, and there are two women having a conversation. The store has a section in the mall, and there is a reflection of a man in the window|Store
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy|Monastery
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy|Building
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy|Building
dev-1027-1-img0|animals on the ground, plants, grass and sky|Animals
dev-83-0-img1|a group of animals on the ground. In the background, we can see a group of trees and the sky|Antelope
dev-308-3-img1|an animal. We can also see some plants, grass, a rock and a group of trees|Antelopes
dev-475-2-img0|three animals. In the background there are trees and sky|Antelopes
dev-1038-1-img0|A cow with horns stands majestically in a field of tall grass. The cow's horns are prominent, and its tail is long and brown. The grass is brown and dry, and the sky is clear and blue. The cow's legs are white and brown, and its fur is brown. The tree in the background is tall and slender. The cow's eyes are closed, and its hooves are on the ground. The cow is standing in the middle of the field, and its tail is long and flowing|Cow
dev-1027-1-img0|animals on the ground, plants, grass and sky|Animals
dev-1027-1-img0|animals on the ground, plants, grass and sky|Animals
dev-1027-1-img0|animals on the ground, plants, grass and sky|Antelopes
dev-1028-2-img1|a can of pepsi|Coke
dev-1028-2-img0|a bottle|Bottle
dev-430-3-img0|a paper towel roll|Pepsi Can
dev-1028-2-img1|a can of pepsi|Pepsi
dev-1028-2-img1|a can of pepsi|Pepsi
dev-1028-2-img1|a can of pepsi|Multipack
dev-1028-3-img0|a pack of pepsi bottles|Big Boy
dev-1028-1-img1|In this image there are three bottles on the table. In the background there are many bottles and tins. On the wall there are posters|Bottles
dev-558-0-img0|bottles placed on the table|Bottles
dev-896-2-img0|several bottles of tsingtao beer are on display|Bottles
dev-459-1-img0|Three glass soda bottles sit on a table, their contents long since consumed. The bottles are empty, with only a few remnants remaining. The green bottle in the center is made of glass, with a amber glass neck and a smooth white doily beneath. The red and white bottle to the left has a similar neck, but with a red and white label. The bottle to the right has a brown bottle with a red and white label. The white cloth on the table and the wall behind the table provide a stark contrast to the colorful soda bottles. The bottles cast long shadows on the ground, and the textured wall behind the table adds a sense of depth to the image|Bottles
dev-558-3-img1|Three glass soda bottles sit on a table. Two bottles are empty, while the third bottle contains a small amount of soda. The bottles are made of glass and have a pepsi logo on their sides. The middle bottle has a silver lid and the left bottle has a brown bottle with a red and white label. The right bottle has a brown bottle with a red and white label. The bottles are all glass and have a pepsi brand logo on their sides|Bottles
dev-1028-3-img0|a pack of pepsi bottles|Bottles
dev-1028-3-img0|a pack of pepsi bottles|Bottles
dev-50-2-img1|a bag|Pencil case
dev-50-3-img0|a bag with a zip|Pencil Cases
dev-139-0-img0|a pouch|Pencil Case
dev-139-0-img0|a pouch|Pouch
dev-139-0-img0|a pouch|Pouch
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar|Dog
dev-99-2-img0|a dog sitting on the ground. In the background we can see a person sitting on the bench|Cat
dev-414-1-img0|a dog and a cat lying on the floor. In the background we can see a wall, window and a door|Dog
dev-375-0-img0|a dog on the couch. We can also see a pillow and a cloth beside it|Puppies
dev-1028-3-img0|a pack of pepsi bottles|Bottles
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting|Isle
dev-1031-2-img0|greeting cards arranged in the racks|Books
dev-450-1-img1|three dogs|Dogs
dev-775-0-img0|a dog sitting on the floor. We can also see some cotton balls, a door, a bucket, a bag and a doormat|Dog
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar|Cat
dev-739-1-img0|A cozy, eclectic bookstore filled with countless books from floor to ceiling, offering a warm and inviting space for book lovers to explore|Bookstore
dev-714-2-img1|a lot of drinks that are in a vending machin|Vending machine
dev-5-3-img0|a group of books placed in the racks|Books
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar|Bed
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar|Dog
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf|Applesauce
dev-382-0-img0|A bakery with a display case filled with cakes. The display case showcases baked goods, including sheets of cookies, a sheet of brownies, a folded pastry lined in white paper, and a brown pastry on display. A sign with the menu is prominently displayed, while a blue bucket sits on the floor. A woman stands behind the counter, wearing glasses and a red shirt, and a man works behind the counter at the coffee shop. The store has a warm and inviting atmosphere, with decorative sugar packets hanging on the wall, a picture on the wall, and a poster on the wall. The coffee shop has a separate counter area for customers, with a small coffee table in front of it. The overall atmosphere is casual and relaxed, making it a perfect place to enjoy a pastry and a cup of coffee|Bakery
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting|Bookstore
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting|Marketplace
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting|Marketplace
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green|Coffee
dev-364-2-img1|A bottle of red wine with the label "Three Thieves," sitting on a white counter. The bottle is made of glass and has a green tint. The label is white and has red letters. There are three thieves depicted on the label, one of whom is holding a horn. The table is white and has a few bottles on it, including one of the three thieves. The bottle of red wine is on a white cloth and there are crumbs on the table. The picture was taken indoors and there is a mirror in the background|Wine
dev-1032-1-img0|a person holding a starbucks coffee cup in their hand|Cup
dev-1032-1-img1|a red cup with a lid has a message on the side that says "be kind this season.|Cup
dev-1032-0-img1|A close up front view of a person's hand holding a red cup of coffee. The cup has a white lid on it and a brown sleeve with a logo and text on it. The sleeve reads "ROASTING CO. / HEADQUARTERS / MILWAUKEE'S / BEST". The logo is a circle with a brown tree trunk in the middle and a star design coming out of the top of the tree and one pointing in the left direction and the other pointing in the right direction. The inside of the cup is red. A light is shining on the cup and sleeve. In the background a brown wooden floor can be seen and a person sitting on a bench|Cup
dev-992-0-img0|A bottle of soda sits on a white table, partially staining the surface. A red ball rests in the hand of a man wearing a blue t-shirt and jeans. The bottle is made of plastic and has a green cap. A plastic trash can lined with a purple trash bag sits on the table next to the bottle. A section of black office chair is visible in the background. The man's wrist watch and a part of his shirt are also shown. A black computer keyboard and a bottle of dark-colored soda are also on the table. The table is white and has a white label on one side. The cap on the bottle is green. The man is holding a red object in his hand and has a blue shirt with white lettering. A plastic bottle with an orange cap and several juice bottles are also on the table|Coffee Cup
dev-675-2-img0|a cup and a lid|Pitcher
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf|Beverage
dev-675-0-img0|a cup with lid. In the back there is a wall|Cup
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green|Coffee
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green|Coffee
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green|Coffee
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car|Cup
dev-1032-1-img1|a red cup with a lid has a message on the side that says "be kind this season.|Glasses
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf|Drink
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf|Bottle
dev-140-2-img0|A display case filled with a variety of cookies, including chocolate chip cookies with the price tag $2.95, strawberry cookies decorated with strawberries, and green dinosaur cookies. The cookies are displayed on a long wooden shelf, a white tray, and a metal tray. The display case is made of silver metal and has a window. There is also a small white sign with the price on it and a blue sign with the price. The cookies are priced individually and there is a price tag for chocolate chip cookies with white chocolate chips|Cookies
dev-1032-2-img1|a starbucks coffee cup with the name "esly" written on the side next to another cup with a lid and straw|Cup
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car|Cup
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car|Hand
dev-711-0-img1|A restaurant with a large sign in the window advertising a burger. The building is made of bricks and has large windows. There is a sign in the window with a burger ad, a sign hanging in the window with a menu, and a white bucket sitting on the ground. A man is standing against the building, looking into the window. There is a sandwich on a sign, pictures of burgers on a sign, and a round sign with a burger on it. The man is walking and carrying a bag. The sidewalk is in front of the restaurant. There is a water puddle in front of the restaurant|Burger
dev-97-2-img0|a group of people sitting on the chairs. We can also see a man standing beside a table containing some glasses on it. On the left side we can see a group of glasses on the tables. On the backside we can see a wall, a roof with some ceiling lights and a chandelier|Biscuits
dev-143-2-img1|a man wearing a white color coat, tie, spectacles and holding a syringe in his hands|Syringe
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car|Makeup
dev-1033-2-img0|a white color horse cart. In the background, we can see water, trees, houses, poles and sky|Cart
dev-1033-1-img0|a white color vehicle with lights. In the background, we can see trees and plants|Carriage
dev-143-0-img0|a person wearing white dress is holding a syringe in his hand|Syringe
dev-143-2-img0|a woman wearing white color dress holding syringe in her hands|Syringe
dev-143-1-img0|a woman holding a syringe in her hand|Syringe
