img_path|caption
dev-1010-3-img1|A gazelle stands gracefully in a field of tall, lush green grass. Its coat is a vibrant brown and white, with a distinctive stripe running down its body. The gazelle's eyes are bright and alert, and its ears are perked up. Its horns are long and curved, and its tail is long and slender. The gazelle's legs are strong and muscular, and its back legs are extended as if in preparation for movement. The gazelle's head is tilted back, as if gazing at the horizon.
dev-1010-3-img1|A gazelle stands gracefully in a field of tall, lush green grass. Its coat is a vibrant brown and white, with a distinctive stripe running down its body. The gazelle's eyes are bright and alert, and its ears are perked up. Its horns are long and curved, and its tail is long and slender. The gazelle's legs are strong and muscular, and its back legs are extended as if in preparation for movement. The gazelle's head is tilted back, as if gazing at the horizon.
dev-1010-3-img1|A gazelle stands gracefully in a field of tall, lush green grass. Its coat is a vibrant brown and white, with a distinctive stripe running down its body. The gazelle's eyes are bright and alert, and its ears are perked up. Its horns are long and curved, and its tail is long and slender. The gazelle's legs are strong and muscular, and its back legs are extended as if in preparation for movement. The gazelle's head is tilted back, as if gazing at the horizon.
dev-117-3-img0|a door with a chain.
dev-117-3-img1|a door with a door handle and a chain.
dev-926-1-img0|A living room with a beige sofa, a white chair, a coffee table, and a lamp. The room has a large window with a roller blind and a long brown dresser. There is also a black vase with yellow flowers, a bowl on the table, and a green pillow on the chair. The rug on the floor is checkered and the carpet is multi-colored. The lampshade is white and the fruit in the bowl is artificial.
dev-384-0-img1|A baby's bed with a canopy and a stuffed animal, featuring a white teddy bear on the bed, a tan bear with black eyes and nose, and a gray bear on the bed. The bed is wooden, with a white chair and a potted plant on the table. The room is colorful, with a gray mountain on the wall, a blue sheet on the bed, and a gray curtain on the bed. The overall atmosphere is calm and serene.
dev-631-1-img1|A group of people stand together in a room. The floor is light brown, and the desk is black with a black base. There is a poster on the wall, a bottle on the ground, and a man wearing glasses and a white lab coat holding a large black camera. The man in the white lab coat is holding a camera, and there is a blue and white label on the bottle. The man in the blue shirt is raising his hand, and there is a grey air vent in the ceiling. The man in the red tie has his hand up, and there is a stack of white paper plates on the desk. The woman in the red shirt is behind the man in the white lab coat, and there is a name tag on the man's shirt. The light is on the ceiling, and there is a bottle of water with a label, a black camera in a man's hand, and a man wearing a red tie and a black pair of pants.
dev-179-1-img0|a group of people standing on the ground. In that a man is holding a mobile phone. We can also see some grass, a building with windows, a staircase and a board with some text on it.
dev-179-1-img0|a group of people standing on the ground. In that a man is holding a mobile phone. We can also see some grass, a building with windows, a staircase and a board with some text on it.
dev-191-2-img0|a dog. In the background there is a wall and we can see a grill.
dev-726-3-img0|a dog on the ground.
dev-372-1-img0|a dog on the ground. We can also see some grass, a group of trees and the sky.
dev-609-3-img1|A brown dog with a long tail and black eyes stands proudly on the sandy ground, its leash securely attached to a black dog collar. The dog's fur is brown, and its tail is long and brown. A small green plant grows in the sand behind the dog. The ground is light brown and covered with sand and pebbles. The dog's eyes are black, and its ears are pointy. The leash is black and attached to the dog's collar. The dog is looking at the camera and appears to be posing for a picture.
dev-564-2-img1|a dog. In the background there is grass.
dev-355-3-img0|monkeys on the ground. At the bottom of the image there is water.
dev-423-3-img0|a man standing and smiling. He is wearing a white shirt. Here we can see a chair. Here we can see a table where a bottle, a glass, a jar and a few more things are kept on it. Here we can see a television on the top right side. Here we can see a television on the top left side.
dev-609-3-img1|A brown dog with a long tail and black eyes stands proudly on the sandy ground, its leash securely attached to a black dog collar. The dog's fur is brown, and its tail is long and brown. A small green plant grows in the sand behind the dog. The ground is light brown and covered with sand and pebbles. The dog's eyes are black, and its ears are pointy. The leash is black and attached to the dog's collar. The dog is looking at the camera and appears to be posing for a picture.
dev-181-3-img1|A brown and white dog named Fido is cooling off in the shallow river, its tail sticking out of the water. The water is brown and ripples gently. The dog's ears are perked back and its eyes are bright. The sun shines on the water, reflecting off in the form of small ripples. The rocks in the water provide a natural backdrop for Fido's play. The tan dog's tongue hangs out as it wags its tail in delight.
dev-181-3-img1|A brown and white dog named Fido is cooling off in the shallow river, its tail sticking out of the water. The water is brown and ripples gently. The dog's ears are perked back and its eyes are bright. The sun shines on the water, reflecting off in the form of small ripples. The rocks in the water provide a natural backdrop for Fido's play. The tan dog's tongue hangs out as it wags its tail in delight.
dev-134-2-img1|a bed with a bed sheet and pillows. We can also see a table with a lamp on it, a door, a photo frame on a wall and a roof.
dev-134-2-img1|a bed with a bed sheet and pillows. We can also see a table with a lamp on it, a door, a photo frame on a wall and a roof.
dev-135-3-img1|a plate containing food placed on the surface.
dev-135-0-img1|A person holds a large, partially-eaten crab in their hand, its legs orange and tan. The crab's claws are long and sharp, with a dent in one claw and a white stripe on the other. The crab's arms are outstretched, and its body is tan and orange. The table beneath the crab is white and wooden, and the wall behind it is white. The person's sweater is dark blue, and their shirt is black. The crab is held in the person's hand, and their thumb is on the claw of the crab. The table is made of wood, and there is a dark shadow on the table.
dev-846-0-img0|crabs.
dev-549-3-img1|A crab is sitting on the rocks outside.
dev-147-1-img1|a crab on the surface.
dev-516-3-img1|A table topped with a large crab feast. A large crab is split open, revealing its juicy flesh. Sliced lemons and limes adorn the table, while a bowl of ketchup and a dish of sauce sit nearby. Parsley is sprinkled on the cooked crab, and a lemon wedge rests on a wooden plate. The fork is silver, and the crab is red. A side of a crab is visible, and the legs of the crab are prominent. The plate is wooden, and the counter is made of marble. This is a crab dinner.
dev-135-3-img1|a plate containing food placed on the surface.
dev-185-3-img1|a cloth.
dev-187-2-img0|a bowl with food and nuts.
dev-1023-3-img0|a coffee machine.
dev-1023-3-img0|a coffee machine.
dev-1025-3-img1|Two friends walking together into the ocean waves, wearing colorful swimsuits, on a bright and sunny beach day.
dev-390-1-img1|A cozy bedroom with a fireplace and a bed. The room has a white bedspread and a rug in front of the bed. There is a lamp on the nightstand and a lamp on a table next to the bed. The floor is made of wood and the ceiling is vaulted. The fireplace is made of stone and has fire in it. The bed is in the middle of the room and the window is on the wall. The room has a warm and inviting atmosphere.
dev-232-1-img1|a train on the track. In the background we can see a building, lights, and a person.
dev-1026-2-img1|a few people sitting on the benches, there are some pillars, lights, windows, also we can see a photo frame on the wall, and a door.
dev-1026-2-img1|a few people sitting on the benches, there are some pillars, lights, windows, also we can see a photo frame on the wall, and a door.
dev-1026-2-img1|a few people sitting on the benches, there are some pillars, lights, windows, also we can see a photo frame on the wall, and a door.
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy.
dev-711-2-img0|buildings, windows, doors, railings, trees, sky and other objects.
dev-949-2-img0|A stone building with a fountain and trees in the background. The building has a stone courtyard and a stone archway. There is a large stone building, a small house made of stones, and a tower with a dome on top of the building. The courtyard is made of stone, and there is a flower pot made of clay on a stone bench. A person is standing in the doorway of the building, and there is a cross on top of the dome. The sky is blue, and there are trees with green leaves and branches in the background.
dev-814-0-img0|A cozy room with a comfortable couch, chair, and rug. The rug is red and gray, and the carpet is patterned. The walls are gold and black, and the ceiling is gray. There is a light brown woven chair, a black and brown chair with pillow, and a red chair with pillow. The carpet is on the floor, and there are three rugs on the floor. The wallpaper is black and gold, and the trim is black. The pillow is red and white, and the rug is red and brown. The floor is light brown.
dev-711-2-img1|a black awning with a logo for pho on it
dev-53-0-img0|A red ribbon store with people standing inside. The store has a red and white sign, a shiny white tile floor, and a red wall inside. There is a brown stuffed animal on display, and the words "Red Ribbon" are written in cursive. The store also has a display case with food in it, a round surveillance camera, and a black wire hanging from the wall. Three people are standing inside the store, and there are two women having a conversation. The store has a section in the mall, and there is a reflection of a man in the window.
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy.
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy.
dev-1026-3-img1|a building with some text and design on it. We can also see some wires and the sky which looks cloudy.
dev-1027-1-img0|animals on the ground, plants, grass and sky.
dev-83-0-img1|a group of animals on the ground. In the background, we can see a group of trees and the sky.
dev-308-3-img1|an animal. We can also see some plants, grass, a rock and a group of trees.
dev-475-2-img0|three animals. In the background there are trees and sky.
dev-1038-1-img0|A cow with horns stands majestically in a field of tall grass. The cow's horns are prominent, and its tail is long and brown. The grass is brown and dry, and the sky is clear and blue. The cow's legs are white and brown, and its fur is brown. The tree in the background is tall and slender. The cow's eyes are closed, and its hooves are on the ground. The cow is standing in the middle of the field, and its tail is long and flowing.
dev-1027-1-img0|animals on the ground, plants, grass and sky.
dev-1027-1-img0|animals on the ground, plants, grass and sky.
dev-1027-1-img0|animals on the ground, plants, grass and sky.
dev-1028-2-img1|a can of pepsi.
dev-1028-2-img0|a bottle.
dev-430-3-img0|a paper towel roll.
dev-1028-2-img1|a can of pepsi.
dev-1028-2-img1|a can of pepsi.
dev-1028-2-img1|a can of pepsi.
dev-1028-3-img0|a pack of pepsi bottles.
dev-1028-1-img1|In this image there are three bottles on the table. In the background there are many bottles and tins. On the wall there are posters.
dev-558-0-img0|bottles placed on the table.
dev-896-2-img0|several bottles of tsingtao beer are on display.
dev-459-1-img0|Three glass soda bottles sit on a table, their contents long since consumed. The bottles are empty, with only a few remnants remaining. The green bottle in the center is made of glass, with a amber glass neck and a smooth white doily beneath. The red and white bottle to the left has a similar neck, but with a red and white label. The bottle to the right has a brown bottle with a red and white label. The white cloth on the table and the wall behind the table provide a stark contrast to the colorful soda bottles. The bottles cast long shadows on the ground, and the textured wall behind the table adds a sense of depth to the image.
dev-558-3-img1|Three glass soda bottles sit on a table. Two bottles are empty, while the third bottle contains a small amount of soda. The bottles are made of glass and have a pepsi logo on their sides. The middle bottle has a silver lid and the left bottle has a brown bottle with a red and white label. The right bottle has a brown bottle with a red and white label. The bottles are all glass and have a pepsi brand logo on their sides.
dev-1028-3-img0|a pack of pepsi bottles.
dev-1028-3-img0|a pack of pepsi bottles.
dev-50-2-img1|a bag.
dev-50-3-img0|a bag with a zip.
dev-139-0-img0|a pouch.
dev-139-0-img0|a pouch.
dev-139-0-img0|a pouch.
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar.
dev-99-2-img0|a dog sitting on the ground. In the background we can see a person sitting on the bench.
dev-414-1-img0|a dog and a cat lying on the floor. In the background we can see a wall, window and a door.
dev-375-0-img0|a dog on the couch. We can also see a pillow and a cloth beside it.
dev-1028-3-img0|a pack of pepsi bottles.
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting.
dev-1031-2-img0|greeting cards arranged in the racks.
dev-450-1-img1|three dogs.
dev-775-0-img0|a dog sitting on the floor. We can also see some cotton balls, a door, a bucket, a bag and a doormat.
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar.
dev-739-1-img0|A cozy, eclectic bookstore filled with countless books from floor to ceiling, offering a warm and inviting space for book lovers to explore.
dev-714-2-img1|a lot of drinks that are in a vending machine
dev-5-3-img0|a group of books placed in the racks.
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar.
dev-1-3-img1|A white dog and a black cat are laying on a red blanket on a bed. The dog has a black nose and a black tail, while the cat has yellow eyes and a purple collar. The cat is laying down on its side, while the dog is laying down on its back. The blanket is purple, and the headboard is brown. The window is white, and the frame is brown. The item in the background is brown. The shoes are in the background. The dog has a white leg and a brown spot on its paw. The cat has a black tail and a red collar.
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf.
dev-382-0-img0|A bakery with a display case filled with cakes. The display case showcases baked goods, including sheets of cookies, a sheet of brownies, a folded pastry lined in white paper, and a brown pastry on display. A sign with the menu is prominently displayed, while a blue bucket sits on the floor. A woman stands behind the counter, wearing glasses and a red shirt, and a man works behind the counter at the coffee shop. The store has a warm and inviting atmosphere, with decorative sugar packets hanging on the wall, a picture on the wall, and a poster on the wall. The coffee shop has a separate counter area for customers, with a small coffee table in front of it. The overall atmosphere is casual and relaxed, making it a perfect place to enjoy a pastry and a cup of coffee.
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting.
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting.
dev-1031-2-img1|A display of lottery tickets in a store, showcasing a variety of colors and designs. The tickets are predominantly yellow, with some green, purple, blue, and pink hues. A row of scratch-off tickets sits prominently, while a kiosk with tickets hanging from the wall is prominently displayed. The store is filled with a diverse assortment of items for sale, including arts and crafts items, lottery tickets, and cleaning products. The tiles are cream colored, and the floor is tiled. The overall atmosphere is bright and inviting.
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green.
dev-364-2-img1|A bottle of red wine with the label "Three Thieves," sitting on a white counter. The bottle is made of glass and has a green tint. The label is white and has red letters. There are three thieves depicted on the label, one of whom is holding a horn. The table is white and has a few bottles on it, including one of the three thieves. The bottle of red wine is on a white cloth and there are crumbs on the table. The picture was taken indoors and there is a mirror in the background.
dev-1032-1-img0|a person holding a starbucks coffee cup in their hand.
dev-1032-1-img1|a red cup with a lid has a message on the side that says "be kind this season."
dev-1032-0-img1|A close up front view of a person's hand holding a red cup of coffee. The cup has a white lid on it and a brown sleeve with a logo and text on it. The sleeve reads "ROASTING CO. / HEADQUARTERS / MILWAUKEE'S / BEST". The logo is a circle with a brown tree trunk in the middle and a star design coming out of the top of the tree and one pointing in the left direction and the other pointing in the right direction. The inside of the cup is red. A light is shining on the cup and sleeve. In the background a brown wooden floor can be seen and a person sitting on a bench.
dev-992-0-img0|A bottle of soda sits on a white table, partially staining the surface. A red ball rests in the hand of a man wearing a blue t-shirt and jeans. The bottle is made of plastic and has a green cap. A plastic trash can lined with a purple trash bag sits on the table next to the bottle. A section of black office chair is visible in the background. The man's wrist watch and a part of his shirt are also shown. A black computer keyboard and a bottle of dark-colored soda are also on the table. The table is white and has a white label on one side. The cap on the bottle is green. The man is holding a red object in his hand and has a blue shirt with white lettering. A plastic bottle with an orange cap and several juice bottles are also on the table.
dev-675-2-img0|a cup and a lid.
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf.
dev-675-0-img0|a cup with lid. In the back there is a wall.
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green.
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green.
dev-1032-3-img0|A cup of coffee sits on a table in a crowded Starbucks. The cup is white with a brown sleeve and a green Starbucks logo. A woman in a pink shirt is sitting at the table, while a man in a blue shirt holds a paper bag containing a pastry. The woman in pink has a white lid on her cup and a black purse on the table. The man in blue has a white cup lid and a green and white coffee cup. The coffee cup sits on a brown table, and there is a light hanging from the ceiling. The store is brightly lit, and the logo on the cup is green.
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car.
dev-1032-1-img1|a red cup with a lid has a message on the side that says "be kind this season."
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf.
dev-140-0-img0|A beverage dispenser with a pink drink and a sign advertising complimentary drinks. The dispenser is tall and black, with a wide handle on the side. The liquid is pink and comes out of a spout on the drink server. There is also a glass jar of honey on the shelf, with a white label on the jar. The container is tall and clear, and the shelf is black and round. The sign on the table is white and has a handwritten sign on it. There is also a small shelf with a tag on it, and a jar of applesauce on the shelf.
dev-140-2-img0|A display case filled with a variety of cookies, including chocolate chip cookies with the price tag $2.95, strawberry cookies decorated with strawberries, and green dinosaur cookies. The cookies are displayed on a long wooden shelf, a white tray, and a metal tray. The display case is made of silver metal and has a window. There is also a small white sign with the price on it and a blue sign with the price. The cookies are priced individually and there is a price tag for chocolate chip cookies with white chocolate chips.
dev-1032-2-img1|a starbucks coffee cup with the name "esly" written on the side next to another cup with a lid and straw.
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car.
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car.
dev-711-0-img1|A restaurant with a large sign in the window advertising a burger. The building is made of bricks and has large windows. There is a sign in the window with a burger ad, a sign hanging in the window with a menu, and a white bucket sitting on the ground. A man is standing against the building, looking into the window. There is a sandwich on a sign, pictures of burgers on a sign, and a round sign with a burger on it. The man is walking and carrying a bag. The sidewalk is in front of the restaurant. There is a water puddle in front of the restaurant.
dev-97-2-img0|a group of people sitting on the chairs. We can also see a man standing beside a table containing some glasses on it. On the left side we can see a group of glasses on the tables. On the backside we can see a wall, a roof with some ceiling lights and a chandelier.
dev-143-2-img1|a man wearing a white color coat, tie, spectacles and holding a syringe in his hands.
dev-1032-3-img1|a person's hand holding a cup. In the background we can see a can and a car.
dev-1033-2-img0|a white color horse cart. In the background, we can see water, trees, houses, poles and sky.
dev-1033-1-img0|a white color vehicle with lights. In the background, we can see trees and plants.
dev-143-0-img0|a person wearing white dress is holding a syringe in his hand.
dev-143-2-img0|a woman wearing white color dress holding syringe in her hands.
dev-143-1-img0|a woman holding a syringe in her hand.
dev-1033-1-img1|A white horse-drawn carriage with people sitting in it travels down a gray road. The carriage has a white canopy and the horse has a white leg. A woman with red hair sits in the carriage, holding a basket. A man wearing a black suit stands behind the horse, holding the reins. Two women sit in the carriage, one wearing a pink shirt and the other wearing a green dress. The man's suit is black, and the woman's hair is red. The horse is white, and the carriage has white wheels. The lady is light-skinned and is wearing a green dress. The back tire of the carriage is worn, and the front wheel has spokes. The bark of a tree is visible in the background. People sit in the buggy, which is also white.
dev-1033-3-img1|a horse cart. Here we can see a person sitting on the cart. In the background, we can see the trees. This is a sky with clouds.
dev-1033-0-img1|a horse and a cart. There is a person standing in the cart. In the background of the image there are trees, water and other objects. At the bottom of the image there is the grass.
dev-8-3-img1|A horse-drawn carriage with a man and child riding in it sits parked on the side of a gray asphalt road. The carriage is pulled by a brown horse, and the driver is a man wearing blue jeans and a white and blue shirt. The passenger is a little boy riding in the wagon. The wagon has a black wheel and a wooden railing. The road has a white line down the center, and there is a white painted line on the ground. A tall brown telephone pole and a large brown brick building are also visible in the image.
dev-1033-2-img0|a white color horse cart. In the background, we can see water, trees, houses, poles and sky.
dev-1033-2-img0|a white color horse cart. In the background, we can see water, trees, houses, poles and sky.
dev-143-0-img1|a person wearing a mask and holding an injection in his hands.
dev-1052-2-img0|a woman drinking a bottle.
dev-143-2-img1|a man wearing a white color coat, tie, spectacles and holding a syringe in his hands.
dev-143-2-img1|a man wearing a white color coat, tie, spectacles and holding a syringe in his hands.
dev-143-2-img1|a man wearing a white color coat, tie, spectacles and holding a syringe in his hands.
